K-GBA-0001	迫ってくる物に狙いを定め、正確なタイミングで拳を突き出して打ち返す	built
K-GBA-0002	生えてくる毛を、音の合図に合わせてピンセットでつまみ抜く	built
K-GBA-0003	一定のリズムで足踏みを続け、隊列を乱さない	built
K-GBA-0004	飛んでくる物の種類を見極め、タイミングよく打ち返す動作を繰り返す	built
K-GBA-0005	振ってくる球にタイミングよくバットを合わせて打ち返す	built
K-GBA-0006	複数人で息を合わせ、合図のタイミングで何かを叩き割る動作を繰り返す	built
K-GBA-0007	迫ってくる攻撃に合わせて、しゃがむか跳ぶかを選んでかわす	built
K-GBA-0008	相手の動きを見て、同じ振り付けを一拍遅れてなぞる	built
K-GBA-0009	決まった振り付けを、音頭のリズムに合わせて同じ動きでなぞる	built
K-GBA-0010	一定のリズムで跳び続け、着地のタイミングを合わせる	built
K-GBA-0011	合図の音に合わせて筆を一気に引き、まっすぐな線を書く	built
K-GBA-0012	相手のフレーズを聞いた直後に、同じリズムで言葉を返す	built
K-GBA-0013	止まった虫を、動き出す前にタイミングよく叩く	built
K-GBA-0014	投げ上げた物が落ちてくる瞬間に合わせて次へ送る	built
K-GBA-0015	出題の合図に合わせて、手を挙げて答える動作のタイミングを合わせる	built
K-GBA-0016	三拍子のリズムに合わせて杖を振り、魔法をかける動作を行う	built
K-GBA-0017	一定の歩調で歩き、物音の合図に合わせて足を止める	built
K-GBA-0018	複数の異なるリズムが同時に鳴る中、指定された一つに合わせて手を叩く	built
K-GBA-0019	合図に合わせて玉を高く放り上げ、的に入れる	built
K-GBA-0020	これまでの複数の合図が入り混じって出る中、それぞれに正しく反応する	built
K-GBA-0021	音の流れに合わせて弓を引く動作のタイミングを合わせる	built
K-GBA-0022	飛んでくる物を、刀を振るタイミングを合わせて斬る	built
K-GBA-0023	一定のリズムでよじ登る動作を続け、途中の障害を避ける	built
K-GBA-0024	より複雑な音頭に合わせて、決まった振り付けを同じ動きでなぞる	built
K-GBA-0025	相手のフレーズを聞いた直後に、より長いリズムで正確に言葉を返す	built
K-GBA-0026	攻撃の種類が増える中、しゃがむか跳ぶかを正しく使い分けてかわす	built
K-GBA-0027	複数の異なるリズムが重なる中、指定されたリズムだけを聞き分けて手を叩く	built
K-GBA-0028	より速いテンポで、息を合わせて何かを叩き割る動作を繰り返す	built
K-GBA-0029	隊列を組んで足踏みを続け、合図で方向転換のタイミングを合わせる	built
K-GBA-0030	より速いテンポで、生えてくる毛をピンセットで抜き取る	built
K-GBA-0031	複数の動作の合図が次々に切り替わる中、それぞれに正しいタイミングで反応する	built
K-DS-0001	流れてくる箱に、合図のタイミングで部品を入れる操作を繰り返す	built
K-DS-0002	自分の番が回ってきた瞬間に合わせて声を出す動作を行う	built
K-DS-0003	弾ませている玉を、リズムに合わせて弾き続ける	built
K-DS-0004	打ち返してくる球に合わせて道具を振り、リズムよく打ち返す	built
K-DS-0005	順番に現れる的を、出現のタイミングに合わせて撃つ	built
K-DS-0006	羽ばたくタイミングに合わせて合図を送り、隊列を保たせる	built
K-DS-0007	前の歌い終わりに続けて、自分の番の歌声を合図に合わせて出す	built
K-DS-0008	一定のリズムで道具を振り下ろし、地面を耕す動作を続ける	built
K-DS-0009	跳び上がった一番高い瞬間にシャッターを切る	built
K-DS-0010	合図に合わせて息を合わせ、決まったタイミングで飛び込む	built
K-DS-0011	曲に合わせて弦をかき鳴らす動作のタイミングを合わせる	built
K-DS-0012	迫ってくる攻撃を、しゃがむ・跳ぶ・斬るで正しいタイミングでかわす	built
K-DS-0013	曲のリズムに合わせて太鼓を叩く動作を続ける	built
K-DS-0014	相手の合図に応えて、正しいタイミングで鳴き返す	built
K-DS-0015	一定の音に合わせて棒を打ち下ろす動作を繰り返す
K-DS-0016	合図に合わせて円盤をこすり、音を鳴らす動作を行う
K-DS-0017	飛び出すタイミングを合図に合わせて決める
K-DS-0018	飛んでくる球に合わせてタイミングよく蹴り返す
K-DS-0019	一定のビートに合わせて足を踏み鳴らし、ステップを刻む
K-DS-0020	曲のビートに合わせて体を振る・拳を突き上げる動作を繰り返す
K-DS-0021	次々に飛んでくる物の軌道を見極め、正確なタイミングで打ち返す
K-DS-0022	周りが頷くタイミングに合わせて自分も頷く
K-DS-0023	敵が照準に入った瞬間に合わせて弾を撃つ
K-DS-0024	相手の隙が生まれた瞬間に合わせてパンチを繰り出す	built
K-DS-0025	相手の攻撃をよけるタイミングに合わせて体をかわす動作を行う	built
K-DS-0026	流れてくる品物を、決まったタイミングで箱に詰める
K-DS-0027	針が指す瞬間に合わせて顔を出す動作のタイミングを合わせる
K-DS-0028	掛け声に合わせて漕ぐ動作のタイミングを揃える
K-DS-0029	流れてくる品に、通り過ぎる瞬間だけ蜜をかける
K-DS-0030	流れてくる部品を、決まったタイミングでドライバーで締める
K-DS-0031	合図に合わせて打ち上げるタイミングを決める
K-DS-0032	相槌のタイミングに合わせて頷く動作を行う
K-DS-0033	食いついた瞬間に合わせて竿を上げる
K-DS-0034	玉が落ちてくる瞬間に合わせて弾く
K-DS-0035	複数の動作が入り混じって出題される中、それぞれ正しいタイミングで反応する
K-DS-0036	振り上げと振り下ろしのタイミングを合わせて道具を振る	built
K-DS-0037	曲のリズムに合わせて打ち鳴らす	built
K-DS-0038	一定のビートに合わせて指を鳴らす動作を繰り返す	built
K-DS-0039	掛け声に合わせて跳びながら手を叩く動作を揃える
K-DS-0040	飛んでくる複数の物を、刀を振るタイミングを合わせて次々と斬る
K-DS-0041	跳ね上がる瞬間に合わせて踏み込む
K-DS-0042	音に合わせてバチを振り下ろす動作を繰り返す
K-DS-0043	決まった足運びを、音に合わせて足で踏み鳴らす
K-DS-0044	相手のフレーズに続けて、同じリズムで言葉を返す
K-DS-0045	流れてくる具材に、決まった手順とタイミングで衣をつける
K-DS-0046	周囲と足並みを揃えて、合図のタイミングでステップを踏む
K-DS-0047	飛んでくる物に合わせてタイミングよく蹴りを繰り出す
K-DS-0048	落ちてくる物を、タイミングよく器でキャッチする	built
K-DS-0049	相手の合図に合わせて同じ動作を返す	built
K-DS-0050	跳ねるタイミングを合わせて次の動作に移る	built
K-DS-0051	合図の音に合わせて太鼓を叩く動作を繰り返す	built
K-DS-0052	じゃれる動きに合わせてタイミングよく手を出す	built
K-DS-0053	一定のリズムでくちばしを打ち付ける動作を繰り返す
K-DS-0054	立ち合いの合図に合わせて相手を押し出す動作を繰り出す
K-DS-0055	決まったステップを、相手と息を合わせて踏む
K-DS-0056	次々に飛んでくる物を、より速いテンポで斬るタイミングを合わせる
K-DS-0057	宙返りする相手を、着地のタイミングに合わせて受け止める
K-DS-0058	投げ上げた物が落ちてくる瞬間に合わせて受け止める
K-DS-0059	助走から突進するタイミングを合図に合わせて決める
K-DS-0060	手拍子のタイミングを、周りに合わせて正確に打つ
K-DS-0061	曲の切れ目に合わせて音を鳴らすタイミングを合わせる
K-DS-0062	一定のビートに合わせて跳ねながらステップを踏む
K-Wii-0001	これまでの動作をモーション操作で再現し、次々と出題されるお題に応える
K-3DS-0001	過去の動作に新しいお題も混ざる中、それぞれ正しいタイミングで応える
K-X-0001	流れてくる音符に合わせて太鼓の中央と縁を叩き分ける
K-X-0002	一定の速さで流れてくる音符を、中央と縁で正確に叩き分ける
K-X-0003	高密度で流れてくる音符を、中央と縁で正確に叩き分ける
K-X-0004	連続する音符の間、太鼓を連打し続ける
K-X-0005	マークが表示されている間に連打して、制限時間内に割る
