I-GBA-0001	飛んでくる矢のコースを見極め、当たる寸前に体を反らして1回だけよける	built
I-GBA-0002	上から落ちてくるものが地面に着く前に、指でつかんで止める	built
I-GBA-0003	3つ並んだものの中から本物を1つ見分けて取る。偽物を取ると失敗	built
I-GBA-0004	ボタン連打の勢いだけで、決められた距離を時間内に走り切る	built
I-GBA-0005	回ってくる縄が足元に来る瞬間に合わせて1回だけ跳ぶ	built
I-GBA-0006	合図が出た瞬間にボタンを1回だけ押す。早すぎても遅すぎても失敗	built
I-GBA-0007	覆われた面を指でこすり続けて、下に隠れた絵が見えるまで削る	built
I-GBA-0008	マイクに息を吹きかけて、詰まったものを勢いよく吹き飛ばす	built
I-GBA-0009	たくさん並んだものの中から、1つだけ紛れ込んだ違うものを見つけて押す	built
I-GBA-0010	一瞬だけ画面に表示された個数を覚えて、その数を選んで答える	built
I-GBA-0011	別々に動く2つの図形を、ぴったり重なった瞬間に合わせる	built
I-GBA-0012	迫ってくる攻撃を、当たる直前の1回だけ防いで凌ぐ	built
I-GBA-0013	伸びてくる手につかまる前に、素早く動いて逃げる	built
I-GBA-0014	一定のリズムで動き続けるものを、狙ったタイミングで止める	built
I-GBA-0015	閉じかけている隙間が完全に閉じる前に、そこへ滑り込む	built
I-GBA-0016	次々に落ちてくるものの真下を避け、当たらないように動き続ける	built
I-GBA-0017	飛んできたものが届く瞬間に合わせて振り、打ち返す	built
I-GBA-0018	狙いと強さを決めて、離れた的の中に投げ入れる	built
I-GBA-0019	穴から不意に出てくるものを、出た瞬間に叩く	built
I-GBA-0020	押し続けて、届くところまでまっすぐ伸ばす	built
I-GBA-0021	タイミングを見計らい、一番効果が出る瞬間にボタンを押して決める	built
I-GBA-0022	あちこちに散らばったものを、時間内にできるだけ多く拾い集める	built
I-GBA-0023	離れて置かれた2つの点を、指でなぞって線で繋ぐ	built
I-GBA-0024	バラバラな向きのものを回して、お手本と同じ向きに揃える	built
I-GBA-0025	立っているものに勢いをぶつけて、時間内に倒す	built
I-GBA-0026	傾いて今にも落ちそうなものを、下から支えて倒れないようにする	built
I-GBA-0027	流れてくるものを、こぼさないように器ですくい取る	built
I-GBA-0028	あちこちから漏れ出す水を、指で押さえて塞ぐ	built
I-GBA-0029	何本も並んだ中から、抜けるとわかっている1本だけを選んで引き抜く	built
I-GBA-0030	指でつまんで、表面の皮を端からむいていく	built
I-GBA-0031	引かれた線からはみ出さないように、なぞって切る	built
I-GBA-0032	上から落ちてくるものが地面に着く前に、口を合わせて食べる	built
I-GBA-0033	傾け具合を調整して、こぼさずに最後まで飲み干す	built
I-GBA-0034	足の形に合わせて動かし、時間内に履き物を履く	built
I-GBA-0035	袖や裾の位置を合わせて、時間内に上から着る	built
I-GBA-0036	汚れている面を指で往復させてこすり、時間内にきれいに磨き上げる	built
I-GBA-0037	泡をつけたものを指でこすって、時間内に汚れを洗い落とす	built
I-GBA-0038	開いたままのものを、指でつまんで時間内に閉じる	built
I-GBA-0039	閉じたままのものを、指でつまんで時間内に開ける	built
I-GBA-0040	決まった位置に、指でつまんだものをぴったり貼り付ける	built
I-GBA-0041	貼り付いたものの端をつまんで、時間内に一気に剥がす	built
I-GBA-0042	バラバラに置かれたものを、正しい順番に並べ替える	built
I-GBA-0043	大きさや向きがバラバラなものを、同じ形に揃える	built
I-GBA-0044	見た目のよく似た2つを見比べて、正しい方を選ぶ	built
I-GBA-0045	誘われても何も操作せずにじっと待つのが正解で、うっかり押すと失敗	built
I-GBA-0046	一瞬だけ表示された並び順を覚えて、同じ順になぞる	built
I-GBA-0047	直前に見せられた動きを、そのまま同じ順番でなぞって真似る	built
I-GBA-0048	流れるリズムに合わせて、タイミングよくボタンを押し続ける	built
I-GBA-0049	一瞬だけ表示された文字を覚え、それと同じものを選んで答える	built
I-GBA-0050	似た音の中から、指定された1つの音だけを聞き分けて選ぶ	built
I-GBA-0051	白黒のモノクロ画面風に描かれた1画面だけの昔ながらの遊びを、4秒間で1回だけ体験する	built
I-GBA-0052	荒いドット絵で描かれた1画面だけの昔ながらの遊びを、4秒間で1回だけ体験する	built
